Epoch: 428, Training Error: 0,00164, Validation Error: 0,00197
Epoch: 429, Training Error: 0,00164, Validation Error: 0,00197
Epoch: 430, Training Error: 0,00164, Validation Error: 0,00197
Epoch: 431, Training Error: 0,00163, Validation Error: 0,00196
Epoch: 432, Training Error: 0,00163, Validation Error: 0,00196
Epoch: 433, Training Error: 0,00163, Validation Error: 0,00195
Epoch: 434, Training Error: 0,00163, Validation Error: 0,00195
Epoch: 435, Training Error: 0,00162, Validation Error: 0,00195
Epoch: 436, Training Error: 0,00162, Validation Error: 0,00194
Epoch: 437, Training Error: 0,00162, Validation Error: 0,00194
Epoch: 438, Training Error: 0,00161, Validation Error: 0,00194
Epoch: 439, Training Error: 0,00161, Validation Error: 0,00193
Epoch: 440, Training Error: 0,00161, Validation Error: 0,00193
Epoch: 441, Training Error: 0,00160, Validation Error: 0,00193
Epoch: 442, Training Error: 0,00160, Validation Error: 0,00192
Epoch: 443, Training Error: 0,00160, Validation Error: 0,00192
Epoch: 444, Training Error: 0,00160, Validation Error: 0,00192
Epoch: 445, Training Error: 0,00159, Validation Error: 0,00191
Epoch: 446, Training Error: 0,00159, Validation Error: 0,00191
Epoch: 447, Training Error: 0,00159, Validation Error: 0,00191
Epoch: 448, Training Error: 0,00159, Validation Error: 0,00191
Epoch: 449, Training Error: 0,00158, Validation Error: 0,00190
Epoch: 450, Training Error: 0,00158, Validation Error: 0,00190
Epoch: 451, Training Error: 0,00158, Validation Error: 0,00190
